DATE,IECM10Y,GTTRY10Y_BID,GTTRY10Y_ASK,USDTRYV1M,USDTRYV3M,CDS5Y,TRYBE10,USDTRY25R3M
14.04.2010,10.64,10.37,10.36,9.81,10.615,160.366,6.23,2.6975
15.04.2010,10.68,10.42,10.4,9.99,10.76,163.067,6.34,3.2575
16.04.2010,10.68,10.42,10.4,10.04,10.86,167.2,6.36,2.845
19.04.2010,10.68,10.50,10.48,10.64,11.34,169.78,6.4,2.9375
20.04.2010,10.68,10.42,10.41,10.3075,11.12,167.097,6.37,2.94
21.04.2010,10.68,10.43,10.4,10.245,11.015,171.147,6.39,2.9125
22.04.2010,10.7,10.44,10.42,10.195,11.21,178.031,6.4,3.095
23.04.2010,10.7,10.42,10.4,10.215,11.205,174.566,6.4,3.01
26.04.2010,10.7,10.42,10.41,10.125,11.035,172.612,6.1,2.785
27.04.2010,10.7,10.5,10.48,10.8275,11.69,187.237,6.41,2.9825
28.04.2010,10.82,10.54,10.52,11.72,11.9625,186.131,6.43,3.52
29.04.2010,10.71,10.47,10.46,11.23,11.75,173.427,6.35,3.5425
30.04.2010,10.75,10.46,10.45,10.46,11.32,170.728,6.42,3.3075
3.05.2010,10.79,10.51,10.5,10.425,11.3225,171.107,6.43,3.4475
4.05.2010,10.79,10.52,10.5,11.265,11.745,182.772,6.11,3.675
5.05.2010,10.91,10.67,10.65,12.63,12.97,191.413,6.5,3.79
6.05.2010,10.94,10.65,10.63,14.425,14.045,215.172,5.99,4.3725
7.05.2010,11.25,10.96,10.94,15.88,15.41,225.044,6.59,4.825
10.05.2010,11.25,10.69,10.67,14.0925,14.0975,177.666,6.4,4.275
11.05.2010,11.25,10.7,10.68,14.64,14.315,176.409,6.35,4.415
12.05.2010,10.77,10.5,10.49,13.79,13.765,165.695,6.15,4.28
13.05.2010,10.77,10.44,10.42,12.855,13.2525,167.414,6.09,3.91
14.05.2010,10.77,10.46,10.45,13.735,13.9925,178.862,6.16,4.02
17.05.2010,10.77,10.43,10.41,13.82,13.84,182.886,6.11,4.2075
18.05.2010,10.77,10.35,10.33,13.56,13.7325,175.952,6.03,4.21
19.05.2010,10.77,10.34,10.32,16.405,15.705,193.055,6.03,4.7525
20.05.2010,10.77,10.35,10.33,17.5825,16.99,204.964,6.04,4.8825
21.05.2010,10.77,10.51,10.49,17.87,17.11,194.145,6.23,5.3075
